Time,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count
00,0.0546448087431694,10,0.047872340425531915,18,0.07627118644067797,9,0.031055900621118012,5,0.018604651162790697,4,0.03293413173652695,11,0.058823529411764705,12,0.034334763948497854,8,0.025806451612903226,4,0.06201550387596899,8,0.01652892561983471,2,0.04182509505703422,11,0.1072961373390558,25,0.032520325203252036,4,0.055350553505535055,15,0.07065217391304347,13,0.06914893617021277,13,0.06696428571428571,15,0.055944055944055944,8,0.020202020202020204,2,0.0440251572327044,7,0.047619047619047616,6,0.0784313725490196,4
01,0.02185792349726776,4,0.031914893617021274,12,0.025423728813559324,3,0.024844720496894408,4,0.05116279069767442,11,0.017964071856287425,6,0.00980392156862745,2,0.034334763948497854,8,0.03225806451612903,5,0.031007751937984496,4,0.024793388429752067,3,0.045627376425855515,12,0.030042918454935622,7,0.04878048780487805,6,0.05166051660516605,14,0.03804347826086957,7,0.026595744680851064,5,0.03571428571428571,8,0.02097902097902098,3,0.030303030303030304,3,0.025157232704402517,4,0.06349206349206349,8,0.0784313725490196,4
02,0.00546448087431694,1,0.02925531914893617,11,0.00847457627118644,1,0.018633540372670808,3,0.018604651162790697,4,0.023952095808383235,8,0.0392156862745098,8,0.02575107296137339,6,0.025806451612903226,4,0.015503875968992248,2,0.024793388429752067,3,0.026615969581749048,7,0.03862660944206009,9,0.04878048780487805,6,0.014760147601476014,4,0.02717391304347826,5,0.02127659574468085,4,0.026785714285714284,6,0.02097902097902098,3,0.030303030303030304,3,0.03773584905660377,6,0.015873015873015872,2,0.0,0
03,0.01092896174863388,2,0.007978723404255319,3,0.025423728813559324,3,0.0,0,0.018604651162790697,4,0.014970059880239521,5,0.0196078431372549,4,0.017167381974248927,4,0.03225806451612903,5,0.0,0,0.008264462809917356,1,0.0076045627376425855,2,0.02145922746781116,5,0.024390243902439025,3,0.025830258302583026,7,0.010869565217391304,2,0.02127659574468085,4,0.022321428571428572,5,0.02097902097902098,3,0.010101010101010102,1,0.018867924528301886,3,0.007936507936507936,1,0.0196078431372549,1
04,0.0273224043715847,5,0.005319148936170213,2,0.00847457627118644,1,0.006211180124223602,1,0.013953488372093023,3,0.008982035928143712,3,0.024509803921568627,5,0.02575107296137339,6,0.05161290322580645,8,0.015503875968992248,2,0.0,0,0.011406844106463879,3,0.004291845493562232,1,0.008130081300813009,1,0.01845018450184502,5,0.0,0,0.0,0,0.004464285714285714,1,0.013986013986013986,2,0.010101010101010102,1,0.012578616352201259,2,0.007936507936507936,1,0.0,0
05,0.01092896174863388,2,0.007978723404255319,3,0.01694915254237288,2,0.006211180124223602,1,0.009302325581395349,2,0.0,0,0.0392156862745098,8,0.004291845493562232,1,0.01935483870967742,3,0.007751937984496124,1,0.0,0,0.0076045627376425855,2,0.017167381974248927,4,0.008130081300813009,1,0.007380073800738007,2,0.010869565217391304,2,0.005319148936170213,1,0.004464285714285714,1,0.0,0,0.010101010101010102,1,0.012578616352201259,2,0.007936507936507936,1,0.0,0
06,0.0,0,0.007978723404255319,3,0.01694915254237288,2,0.012422360248447204,2,0.013953488372093023,3,0.014970059880239521,5,0.00980392156862745,2,0.008583690987124463,2,0.025806451612903226,4,0.015503875968992248,2,0.03305785123966942,4,0.0,0,0.004291845493562232,1,0.008130081300813009,1,0.007380073800738007,2,0.021739130434782608,4,0.010638297872340425,2,0.008928571428571428,2,0.04895104895104895,7,0.010101010101010102,1,0.012578616352201259,2,0.0,0,0.0392156862745098,2
07,0.0273224043715847,5,0.007978723404255319,3,0.05084745762711865,6,0.012422360248447204,2,0.04186046511627907,9,0.017964071856287425,6,0.024509803921568627,5,0.02575107296137339,6,0.012903225806451613,2,0.007751937984496124,1,0.024793388429752067,3,0.022813688212927757,6,0.017167381974248927,4,0.016260162601626018,2,0.014760147601476014,4,0.010869565217391304,2,0.02127659574468085,4,0.026785714285714284,6,0.013986013986013986,2,0.050505050505050504,5,0.06918238993710692,11,0.023809523809523808,3,0.0196078431372549,1
08,0.04371584699453552,8,0.026595744680851064,10,0.00847457627118644,1,0.018633540372670808,3,0.04186046511627907,9,0.03592814371257485,12,0.014705882352941176,3,0.030042918454935622,7,0.012903225806451613,2,0.05426356589147287,7,0.024793388429752067,3,0.03802281368821293,10,0.017167381974248927,4,0.04065040650406504,5,0.01845018450184502,5,0.021739130434782608,4,0.05851063829787234,11,0.04017857142857143,9,0.027972027972027972,4,0.0707070707070707,7,0.031446540880503145,5,0.023809523809523808,3,0.0,0
09,0.03825136612021858,7,0.031914893617021274,12,0.01694915254237288,2,0.043478260869565216,7,0.013953488372093023,3,0.03592814371257485,12,0.05392156862745098,11,0.05150214592274678,12,0.05806451612903226,9,0.031007751937984496,4,0.04132231404958678,5,0.026615969581749048,7,0.034334763948497854,8,0.008130081300813009,1,0.04059040590405904,11,0.02717391304347826,5,0.03723404255319149,7,0.04017857142857143,9,0.04895104895104895,7,0.030303030303030304,3,0.050314465408805034,8,0.05555555555555555,7,0.0196078431372549,1
10,0.0273224043715847,5,0.023936170212765957,9,0.05084745762711865,6,0.062111801242236024,10,0.046511627906976744,10,0.04790419161676647,16,0.049019607843137254,10,0.03862660944206009,9,0.04516129032258064,7,0.046511627906976744,6,0.01652892561983471,2,0.04182509505703422,11,0.055793991416309016,13,0.024390243902439025,3,0.02952029520295203,8,0.07065217391304347,13,0.047872340425531915,9,0.04017857142857143,9,0.06993006993006994,10,0.030303030303030304,3,0.03773584905660377,6,0.03968253968253968,5,0.0,0
11,0.04918032786885246,9,0.0398936170212766,15,0.00847457627118644,1,0.024844720496894408,4,0.037209302325581395,8,0.03592814371257485,12,0.0392156862745098,8,0.06437768240343347,15,0.04516129032258064,7,0.007751937984496124,1,0.049586776859504134,6,0.034220532319391636,9,0.03862660944206009,9,0.024390243902439025,3,0.03690036900369004,10,0.021739130434782608,4,0.015957446808510637,3,0.05357142857142857,12,0.055944055944055944,8,0.06060606060606061,6,0.0440251572327044,7,0.06349206349206349,8,0.058823529411764705,3
12,0.0273224043715847,5,0.05851063829787234,22,0.0423728813559322,5,0.018633540372670808,3,0.05116279069767442,11,0.059880239520958084,20,0.06372549019607843,13,0.055793991416309016,13,0.01935483870967742,3,0.031007751937984496,4,0.06611570247933884,8,0.045627376425855515,12,0.06437768240343347,15,0.06504065040650407,8,0.04428044280442804,12,0.02717391304347826,5,0.05851063829787234,11,0.03571428571428571,8,0.027972027972027972,4,0.04040404040404041,4,0.025157232704402517,4,0.07936507936507936,10,0.0392156862745098,2
13,0.0546448087431694,10,0.034574468085106384,13,0.05084745762711865,6,0.062111801242236024,10,0.046511627906976744,10,0.05089820359281437,17,0.024509803921568627,5,0.05150214592274678,12,0.06451612903225806,10,0.05426356589147287,7,0.049586776859504134,6,0.045627376425855515,12,0.030042918454935622,7,0.04878048780487805,6,0.04428044280442804,12,0.02717391304347826,5,0.05319148936170213,10,0.03125,7,0.055944055944055944,8,0.050505050505050504,5,0.025157232704402517,4,0.07142857142857142,9,0.058823529411764705,3
14,0.04371584699453552,8,0.04521276595744681,17,0.03389830508474576,4,0.049689440993788817,8,0.046511627906976744,10,0.0658682634730539,22,0.05392156862745098,11,0.02575107296137339,6,0.04516129032258064,7,0.023255813953488372,3,0.0743801652892562,9,0.03802281368821293,10,0.06866952789699571,16,0.06504065040650407,8,0.02952029520295203,8,0.02717391304347826,5,0.06914893617021277,13,0.05803571428571429,13,0.027972027972027972,4,0.08080808080808081,8,0.05660377358490566,9,0.031746031746031744,4,0.0196078431372549,1
15,0.03825136612021858,7,0.05053191489361702,19,0.03389830508474576,4,0.06832298136645963,11,0.037209302325581395,8,0.0688622754491018,23,0.05392156862745098,11,0.05150214592274678,12,0.04516129032258064,7,0.10852713178294573,14,0.04132231404958678,5,0.06463878326996197,17,0.03862660944206009,9,0.056910569105691054,7,0.04797047970479705,13,0.06521739130434782,12,0.05319148936170213,10,0.049107142857142856,11,0.07692307692307693,11,0.050505050505050504,5,0.025157232704402517,4,0.031746031746031744,4,0.0196078431372549,1
16,0.03825136612021858,7,0.061170212765957445,23,0.01694915254237288,2,0.031055900621118012,5,0.046511627906976744,10,0.0718562874251497,24,0.04411764705882353,9,0.04721030042918455,11,0.07096774193548387,11,0.046511627906976744,6,0.05785123966942149,7,0.026615969581749048,7,0.030042918454935622,7,0.032520325203252036,4,0.05166051660516605,14,0.05434782608695652,10,0.05319148936170213,10,0.04017857142857143,9,0.03496503496503497,5,0.04040404040404041,4,0.050314465408805034,8,0.06349206349206349,8,0.0,0
17,0.060109289617486336,11,0.06914893617021277,26,0.03389830508474576,4,0.037267080745341616,6,0.06511627906976744,14,0.041916167664670656,14,0.04411764705882353,9,0.017167381974248927,4,0.05161290322580645,8,0.023255813953488372,3,0.024793388429752067,3,0.053231939163498096,14,0.02575107296137339,6,0.04878048780487805,6,0.07011070110701106,19,0.059782608695652176,11,0.03723404255319149,7,0.04017857142857143,9,0.055944055944055944,8,0.030303030303030304,3,0.050314465408805034,8,0.023809523809523808,3,0.11764705882352941,6
18,0.08196721311475409,15,0.05053191489361702,19,0.07627118644067797,9,0.037267080745341616,6,0.05116279069767442,11,0.03592814371257485,12,0.05392156862745098,11,0.05150214592274678,12,0.05161290322580645,8,0.05426356589147287,7,0.04132231404958678,5,0.057034220532319393,15,0.034334763948497854,8,0.024390243902439025,3,0.04797047970479705,13,0.08152173913043478,15,0.05851063829787234,11,0.05803571428571429,13,0.09090909090909091,13,0.04040404040404041,4,0.05660377358490566,9,0.047619047619047616,6,0.11764705882352941,6
19,0.09289617486338798,17,0.06648936170212766,25,0.06779661016949153,8,0.07453416149068323,12,0.06976744186046512,15,0.05389221556886228,18,0.024509803921568627,5,0.060085836909871244,14,0.07096774193548387,11,0.06201550387596899,8,0.049586776859504134,6,0.06463878326996197,17,0.05150214592274678,12,0.07317073170731707,9,0.05904059040590406,16,0.07608695652173914,14,0.03723404255319149,7,0.05803571428571429,13,0.06293706293706294,9,0.050505050505050504,5,0.05660377358490566,9,0.05555555555555555,7,0.09803921568627451,5
20,0.060109289617486336,11,0.08776595744680851,33,0.1016949152542373,12,0.10559006211180125,17,0.09302325581395349,20,0.06287425149700598,21,0.04411764705882353,9,0.0944206008583691,22,0.025806451612903226,4,0.06201550387596899,8,0.08264462809917356,10,0.06463878326996197,17,0.055793991416309016,13,0.07317073170731707,9,0.08118081180811808,22,0.05434782608695652,10,0.031914893617021274,6,0.049107142857142856,11,0.03496503496503497,5,0.0707070707070707,7,0.05660377358490566,9,0.03968253968253968,5,0.0196078431372549,1
21,0.0546448087431694,10,0.07446808510638298,28,0.11864406779661017,14,0.07453416149068323,12,0.06511627906976744,14,0.08083832335329341,27,0.058823529411764705,12,0.034334763948497854,8,0.03225806451612903,5,0.07751937984496124,10,0.06611570247933884,8,0.09505703422053231,25,0.060085836909871244,14,0.08130081300813008,10,0.05166051660516605,14,0.07065217391304347,13,0.07446808510638298,14,0.05357142857142857,12,0.055944055944055944,8,0.050505050505050504,5,0.0880503144654088,14,0.07142857142857142,9,0.058823529411764705,3
22,0.060109289617486336,11,0.06648936170212766,25,0.05084745762711865,6,0.09316770186335403,15,0.05581395348837209,12,0.0748502994011976,25,0.0784313725490196,16,0.06866952789699571,16,0.08387096774193549,13,0.12403100775193798,16,0.09090909090909091,11,0.07604562737642585,20,0.0944206008583691,22,0.07317073170731707,9,0.07380073800738007,20,0.059782608695652176,11,0.09574468085106383,18,0.08035714285714286,18,0.04195804195804196,6,0.0707070707070707,7,0.0880503144654088,14,0.05555555555555555,7,0.0784313725490196,4
23,0.07103825136612021,13,0.06648936170212766,25,0.059322033898305086,7,0.08695652173913043,14,0.046511627906976744,10,0.04491017964071856,15,0.07352941176470588,15,0.0815450643776824,19,0.05161290322580645,8,0.03875968992248062,5,0.09090909090909091,11,0.06463878326996197,17,0.060085836909871244,14,0.06504065040650407,8,0.07749077490774908,21,0.06521739130434782,12,0.0425531914893617,8,0.07589285714285714,17,0.03496503496503497,5,0.06060606060606061,6,0.025157232704402517,4,0.07142857142857142,9,0.058823529411764705,3
