Time,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count,Total,Total_count
00,0.03648915187376726,37,0.05042918454935622,47,0.02320185614849188,10,0.03436426116838488,20,0.039272030651340994,41,0.031180400890868598,28,0.03699284009546539,31,0.04549950544015826,46,0.035842293906810034,20,0.027422303473491772,15,0.04479166666666667,43,0.028907922912205567,27,0.04250295159386069,36,0.04625,37,0.03919372900335946,35,0.03866809881847476,36,0.04066543438077634,22,0.030450669914738125,25,0.020710059171597635,7,0.03783783783783784,14,0.03373015873015873,17,0.025839793281653745,10,0.014234875444839857,4,0.03693354391932936,608
01,0.021696252465483234,22,0.032188841201716736,30,0.013921113689095127,6,0.022336769759450172,13,0.023946360153256706,25,0.024498886414253896,22,0.032219570405727926,27,0.026706231454005934,27,0.023297491039426525,13,0.031078610603290677,17,0.013541666666666667,13,0.020342612419700215,19,0.03778040141676505,32,0.03625,29,0.019036954087346025,17,0.022556390977443608,21,0.024029574861367836,13,0.012180267965895249,10,0.029585798816568046,10,0.008108108108108109,3,0.015873015873015872,8,0.03359173126614987,13,0.02491103202846975,7,0.024116146276272628,397
02,0.008875739644970414,9,0.0203862660944206,19,0.009280742459396751,4,0.00859106529209622,5,0.011494252873563218,12,0.0200445434298441,18,0.02028639618138425,17,0.021760633036597428,22,0.03046594982078853,17,0.012797074954296161,7,0.013541666666666667,13,0.020342612419700215,19,0.020070838252656435,17,0.0175,14,0.0167973124300112,15,0.01933404940923738,18,0.022181146025878003,12,0.013398294762484775,11,0.01775147928994083,6,0.021621621621621623,8,0.017857142857142856,9,0.020671834625323,8,0.010676156583629894,3,0.01719110679139837,283
03,0.01972386587771203,20,0.015021459227467811,14,0.02088167053364269,9,0.003436426116838488,2,0.018199233716475097,19,0.014476614699331848,13,0.017899761336515514,15,0.01582591493570722,16,0.014336917562724014,8,0.021937842778793418,12,0.009375,9,0.013918629550321198,13,0.011806375442739079,10,0.01125,9,0.01791713325867861,16,0.018259935553168637,17,0.011090573012939002,6,0.014616321559074299,12,0.005917159763313609,2,0.013513513513513514,5,0.017857142857142856,9,0.028423772609819122,11,0.0071174377224199285,2,0.015125744138014822,249
04,0.010848126232741617,11,0.016094420600858368,15,0.0069605568445475635,3,0.015463917525773196,9,0.008620689655172414,9,0.008908685968819599,8,0.010739856801909307,9,0.009891196834817012,10,0.026881720430107527,15,0.009140767824497258,5,0.009375,9,0.016059957173447537,15,0.011806375442739079,10,0.01125,9,0.005599104143337066,5,0.008592910848549946,8,0.009242144177449169,5,0.012180267965895249,10,0.014792899408284023,5,0.002702702702702703,1,0.003968253968253968,2,0.002583979328165375,1,0.0,0,0.010569797108492285,174
05,0.01282051282051282,13,0.01072961373390558,10,0.002320185614849188,1,0.010309278350515464,6,0.014367816091954023,15,0.014476614699331848,13,0.011933174224343675,10,0.010880316518298714,11,0.025089605734767026,14,0.005484460694698354,3,0.007291666666666667,7,0.013918629550321198,13,0.01652892561983471,14,0.01125,9,0.012318029115341545,11,0.013963480128893663,13,0.011090573012939002,6,0.013398294762484775,11,0.023668639053254437,8,0.01891891891891892,7,0.031746031746031744,16,0.012919896640826873,5,0.010676156583629894,3,0.013303365326205808,219
06,0.015779092702169626,16,0.01072961373390558,10,0.016241299303944315,7,0.01718213058419244,10,0.020114942528735632,21,0.02783964365256125,25,0.013126491646778043,11,0.018793273986152326,19,0.025089605734767026,14,0.014625228519195612,8,0.013541666666666667,13,0.014989293361884369,14,0.018890200708382526,16,0.01375,11,0.020156774916013438,18,0.01611170784103115,15,0.014787430683918669,8,0.015834348355663823,13,0.026627218934911243,9,0.01891891891891892,7,0.01984126984126984,10,0.01808785529715762,7,0.02491103202846975,7,0.017555582553760173,289
07,0.023668639053254437,24,0.02682403433476395,25,0.02320185614849188,10,0.03436426116838488,20,0.022030651340996167,23,0.024498886414253896,22,0.017899761336515514,15,0.033630069238377844,34,0.023297491039426525,13,0.02010968921389397,11,0.029166666666666667,28,0.027837259100642397,26,0.0295159386068477,25,0.01375,11,0.030235162374020158,27,0.02577873254564984,24,0.04436229205175601,24,0.024360535931790498,20,0.023668639053254437,8,0.04864864864864865,18,0.021825396825396824,11,0.023255813953488372,9,0.021352313167259787,6,0.02636374681083708,434
08,0.04043392504930966,41,0.028969957081545063,27,0.04176334106728538,18,0.054982817869415807,32,0.04789272030651341,50,0.043429844097995544,39,0.03341288782816229,28,0.03758654797230465,38,0.03942652329749104,22,0.021937842778793418,12,0.022916666666666665,22,0.035331905781584586,33,0.03659976387249114,31,0.0375,30,0.03919372900335946,35,0.02900107411385607,27,0.025878003696857672,14,0.030450669914738125,25,0.047337278106508875,16,0.03513513513513514,13,0.05952380952380952,30,0.025839793281653745,10,0.03914590747330961,11,0.03669056007775483,604
09,0.04930966469428008,50,0.03540772532188841,33,0.05336426914153132,23,0.027491408934707903,16,0.04310344827586207,45,0.0400890868596882,36,0.03818615751789976,32,0.04154302670623145,42,0.04121863799283154,23,0.04021937842778794,22,0.05416666666666667,52,0.043897216274089934,41,0.04014167650531287,34,0.03,24,0.05375139977603583,48,0.05477980665950591,51,0.04621072088724584,25,0.03532277710109622,29,0.0621301775147929,21,0.05405405405405406,20,0.05555555555555555,28,0.03875968992248062,15,0.03558718861209965,10,0.043737091483416354,720
10,0.05325443786982249,54,0.03862660944206009,36,0.07192575406032482,31,0.044673539518900345,26,0.034482758620689655,36,0.045657015590200446,41,0.04892601431980907,41,0.04648862512363996,47,0.03046594982078853,17,0.0603290676416819,33,0.046875,45,0.046038543897216275,43,0.04604486422668241,39,0.0375,30,0.0683090705487122,61,0.04081632653061224,38,0.04805914972273567,26,0.0438489646772229,36,0.05029585798816568,17,0.05945945945945946,22,0.047619047619047616,24,0.046511627906976744,18,0.042704626334519574,12,0.04695662738427894,773
11,0.047337278106508875,48,0.03969957081545064,37,0.05104408352668213,22,0.09278350515463918,54,0.040229885057471264,42,0.0645879732739421,58,0.05489260143198091,46,0.04945598417408507,50,0.03763440860215054,21,0.06581352833638025,36,0.04479166666666667,43,0.04068522483940043,38,0.05194805194805195,44,0.0325,26,0.043673012318029114,39,0.04618689581095596,43,0.051756007393715345,28,0.048721071863580996,40,0.023668639053254437,8,0.04594594594594595,17,0.04563492063492063,23,0.04909560723514212,19,0.046263345195729534,13,0.04829303851293889,795
12,0.04930966469428008,50,0.04721030042918455,44,0.07424593967517401,32,0.04639175257731959,27,0.05651340996168582,59,0.05679287305122494,51,0.05608591885441527,47,0.043521266073194856,44,0.043010752688172046,24,0.04021937842778794,22,0.051041666666666666,49,0.05032119914346895,47,0.05076741440377804,43,0.04,32,0.043673012318029114,39,0.04403866809881848,41,0.051756007393715345,28,0.031668696711327646,26,0.05325443786982249,18,0.07567567567567568,28,0.047619047619047616,24,0.03875968992248062,15,0.0498220640569395,14,0.04883975215648159,804
13,0.054240631163708086,55,0.043991416309012876,41,0.03944315545243619,17,0.0429553264604811,25,0.0421455938697318,44,0.05011135857461024,45,0.0405727923627685,34,0.0771513353115727,78,0.044802867383512544,25,0.05301645338208409,29,0.06041666666666667,58,0.04925053533190578,46,0.05194805194805195,44,0.05125,41,0.06159014557670773,55,0.03544575725026853,33,0.04805914972273567,26,0.06455542021924482,53,0.06804733727810651,23,0.051351351351351354,19,0.04365079365079365,22,0.04909560723514212,19,0.05693950177935943,16,0.051512574413801485,848
14,0.055226824457593686,56,0.04184549356223176,39,0.05568445475638051,24,0.05670103092783505,33,0.06417624521072797,67,0.052338530066815145,47,0.05489260143198091,46,0.05934718100890208,60,0.05913978494623656,33,0.04570383912248629,25,0.05625,54,0.04925053533190578,46,0.047225501770956316,40,0.0625,50,0.05375139977603583,48,0.06015037593984962,56,0.04990757855822551,27,0.06090133982947625,50,0.03254437869822485,11,0.04054054054054054,15,0.03571428571428571,18,0.04392764857881137,17,0.06405693950177936,18,0.05345644514639777,880
15,0.07100591715976332,72,0.055793991416309016,52,0.04640371229698376,20,0.04639175257731959,27,0.05459770114942529,57,0.0556792873051225,50,0.06205250596658711,52,0.05440158259149357,55,0.05197132616487455,29,0.04753199268738574,26,0.059375,57,0.06638115631691649,62,0.03896103896103896,33,0.055,44,0.04591265397536394,41,0.05477980665950591,51,0.04805914972273567,26,0.05968331303288672,49,0.07100591715976332,24,0.04054054054054054,15,0.05952380952380952,30,0.08785529715762273,34,0.060498220640569395,17,0.05606852144332402,923
16,0.055226824457593686,56,0.06330472103004292,59,0.048723897911832945,21,0.044673539518900345,26,0.06896551724137931,72,0.05456570155902005,49,0.0477326968973747,40,0.04846686449060336,49,0.05913978494623656,33,0.062157221206581355,34,0.04479166666666667,43,0.056745182012847964,53,0.04604486422668241,39,0.05375,43,0.05375139977603583,48,0.06229860365198711,58,0.04436229205175601,24,0.04628501827040195,38,0.05621301775147929,19,0.04594594594594595,17,0.05357142857142857,27,0.04392764857881137,17,0.03202846975088968,9,0.05309196938403596,874
17,0.045364891518737675,46,0.05257510729613734,49,0.048723897911832945,21,0.058419243986254296,34,0.05363984674329502,56,0.052338530066815145,47,0.06324582338902147,53,0.057368941641938676,58,0.05555555555555555,31,0.05850091407678245,32,0.071875,69,0.06531049250535331,61,0.0590318772136954,50,0.06375,51,0.051511758118701005,46,0.06552094522019335,61,0.06469500924214418,35,0.07429963459196103,61,0.05917159763313609,20,0.05405405405405406,20,0.0496031746031746,25,0.056847545219638244,22,0.046263345195729534,13,0.058376867938282104,961
18,0.03451676528599606,35,0.060085836909871244,56,0.030162412993039442,13,0.06013745704467354,35,0.05268199233716475,55,0.05790645879732739,52,0.057279236276849645,48,0.05539070227497527,56,0.05555555555555555,31,0.04936014625228519,27,0.051041666666666666,49,0.055674518201284794,52,0.053128689492325853,45,0.0525,42,0.04591265397536394,41,0.06229860365198711,58,0.051756007393715345,28,0.05602923264311815,46,0.05029585798816568,17,0.051351351351351354,19,0.03571428571428571,18,0.059431524547803614,23,0.06405693950177936,18,0.05248450978009962,864
19,0.05818540433925049,59,0.07296137339055794,68,0.06264501160092807,27,0.06357388316151202,37,0.05747126436781609,60,0.060133630289532294,54,0.07517899761336516,63,0.03857566765578635,39,0.07347670250896057,41,0.038391224862888484,21,0.06770833333333333,65,0.059957173447537475,56,0.06139315230224321,52,0.06625,53,0.05711086226203808,51,0.05477980665950591,51,0.06284658040665435,34,0.05968331303288672,49,0.038461538461538464,13,0.05675675675675676,21,0.061507936507936505,31,0.05426356589147287,21,0.0711743772241993,20,0.05989551694812295,986
20,0.0631163708086785,64,0.04935622317596566,46,0.0765661252900232,33,0.05326460481099656,31,0.05363984674329502,56,0.05011135857461024,45,0.0513126491646778,43,0.051434223541048464,52,0.05017921146953405,28,0.062157221206581355,34,0.06458333333333334,62,0.06638115631691649,62,0.05194805194805195,44,0.075,60,0.060470324748040316,54,0.07411385606874328,69,0.06284658040665435,34,0.06699147381242387,55,0.05029585798816568,17,0.05945945945945946,22,0.057539682539682536,29,0.04909560723514212,19,0.08185053380782918,23,0.05965253310654842,982
21,0.0650887573964497,66,0.06330472103004292,59,0.06728538283062645,29,0.05326460481099656,31,0.06321839080459771,66,0.060133630289532294,54,0.059665871121718374,50,0.058358061325420374,59,0.053763440860215055,30,0.08043875685557587,44,0.07083333333333333,68,0.055674518201284794,52,0.06847697756788666,58,0.05875,47,0.04479283314669653,40,0.05370569280343716,50,0.06469500924214418,35,0.05237515225334957,43,0.07100591715976332,24,0.051351351351351354,19,0.061507936507936505,31,0.059431524547803614,23,0.0711743772241993,20,0.060624468472846554,998
22,0.055226824457593686,56,0.06223175965665236,58,0.07424593967517401,32,0.054982817869415807,32,0.0603448275862069,63,0.04788418708240535,43,0.05489260143198091,46,0.058358061325420374,59,0.05555555555555555,31,0.054844606946983544,30,0.052083333333333336,50,0.05353319057815846,50,0.048406139315230225,41,0.06375,51,0.0671892497200448,60,0.04833512352309345,45,0.04436229205175601,24,0.07186358099878197,59,0.06804733727810651,23,0.04594594594594595,17,0.06746031746031746,34,0.07493540051679587,29,0.08185053380782918,23,0.058073138136313936,956
23,0.05325443786982249,54,0.06223175965665236,58,0.04176334106728538,18,0.05326460481099656,31,0.04885057471264368,51,0.042316258351893093,38,0.0405727923627685,34,0.03956478733926805,40,0.044802867383512544,25,0.07678244972577697,42,0.040625,39,0.04925053533190578,46,0.0590318772136954,50,0.05875,47,0.048152295632698766,43,0.050483351235230935,47,0.05730129390018484,31,0.06090133982947625,50,0.03550295857988166,12,0.062162162162162166,23,0.05555555555555555,28,0.056847545219638244,22,0.042704626334519574,12,0.05108735269104604,841
